VacationHomeID,VacHomeClass,VacHomeZone,VacHomeLotFrontage,VacHomeLotSqFt,VacHomeStreet,VacHomeRoad,VacHomeLotShape,VacHomeLandContour,VacHomeUtilities,VacHomeLotConfig,VacHomeLandSlope,VacHomeNeighborhood,VacHomeCondition,VacHomeBuilding,VacHomeHouseStyle,VacHomeRating,VacHomeQuality,VacHomeConsYear,VacHomeSince,VacHomeRoofStyle,VacHomeRoofMat,VacHomeExterior,VacHomeMasonryVeneer,VacHomeMasonryArea,VacHomeExterQual,VacHomeQual,VacHomeFoundation,VacHomeBsmtQuality,VacHomeBsmtLight,VacHomeBsmtFinish,VacHomeBsmtSqFt,VacHomeHeating,VacHomeHeatingQuality,VacHomeAC,VacHomeElectricalWiring,VacHomeFloor1SqFt,VacHomeFloor2SqFt,VacHomeSqFt,VacHomeNumFullBath,VacHomeNumHalfBath,VacHomeBedroomWithCloset,VacHomeKitcheninHome,VacHomeKitchenQuality,VacHomeRooms,VacHomeFireplaces,VacHomeFireplaceQuality,VacHomeGarageType,VacHomeGarageFinish,VacHomeCarsInGarage,VacHomeGarageArea,VacHomeGarageQuality,VacHomeDriveway,VacHomeWoodDeckSqFt,VacHomePorchSqFt,VacHomePoolSqFt,VacHomePoolQuality,VacHomeFence,VacHomeStartMonth,VacHomeStartYear,VacHomeSaleType,VacHomeSaleCondition,VacHomeSalePrice,VacHomeInterestInHome,VacHomeGoodSchools,VacHomeAvailableDate,VacHomeBarCode,VacHomeOwnerAddress,VacHomeOwnerCity,VacHomeOwnerCountry,VacHomeOwnerEmail,VacHomeOwnerGender,VacHomeOwnerState,VacHomeOwnerZipcode,VacHomeRenovationAmount,VacHomeSurveyDate,VacHomeSurveyRating,VacHomeReviewDate,VacHomeReviewRating
166,VacHomeClass-15,VacHomeZone-1,62.0,10106,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 8,Proximity to School,Condo,Craftsman,5,7,1943,2004,Gable,Rolled Roofing,Wood Shingle,Manmade Stone,0.0,3,4,Strip foundation,3.0,No Sunlight,BrightWall Paneling,644,Furnace,4,Yes,NM Cable,808,547,1355,2,0,4,2,3,6,0,,No Garage,Unfinished,0,0,0,Paved,140,0,0,0,No Fence,9,2008,Down payment assistance,Regular,105831.0,N,Y,2021-09-01,81101269,"Lübsring 7/9
33035 Havelberg",Bad Brückenau,Ungarn,briankabus@ehlert.com,F,Sachsen-Anhalt,85324,79.0,2021-04-28,3.5,2021-04-28,3.5
167,VacHomeClass-1,VacHomeZone-1,,10708,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 5,Proximity to School,Apartment,Contemporary,5,5,1960,1999,Sawtooth,Rolled Roofing,Wood Shingle,Manmade Stone,0.0,4,3,Combined footing,3.0,No Sunlight,Basement to Beautiful Panels,1617,Furnace,5,Yes,Underground Feeder Cable,1867,0,1867,1,0,2,1,3,7,3,Gd,Attached,DryWall,1,303,3,Paved,476,0,0,0,Wood Fences,11,2009,Reverse Mortgage,Regular,157706.0,Y,N,2021-01-12,77349866,"Edit-Wagenknecht-Weg 320
44992 Helmstedt",Eggenfelden,Nauru,ernsthess@gmx.de,Unknown,Brandenburg,72090,59.0,2021-01-26,4.4,2021-01-26,4.4
168,VacHomeClass-6,VacHomeZone-1,86.0,10562,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 16,Proximity to School,Apartment,Bungalow,8,5,2008,2014,Gable,Rolled Roofing,Board Batten,Manmade Panels,300.0,4,3,Individual footing,5.0,No Sunlight,ZenWall Panels,1582,Furnace,5,Yes,NM Cable,1610,551,2161,1,1,3,1,5,8,1,Gd,Attached,DryWall,3,789,3,Paved,178,0,0,0,No Fence,11,2007,Government-backed programs,Distress Sale,270273.92,N,N,2021-06-22,20120597,"Sergio-Kreusel-Platz 593
81065 Waren",Hofgeismar,Bolivien,jsalz@web.de,M,Sachsen-Anhalt,76446,47.0,2021-11-17,3.6,2021-11-17,3.6
169,VacHomeClass-6,VacHomeZone-1,62.0,8244,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 9,Proximity to School,Apartment,Bungalow,7,5,2007,2014,Gable,Rolled Roofing,Board Batten,Manmade Stone,0.0,4,3,Individual footing,4.0,No Sunlight,Dry Wall,840,Furnace,5,Yes,NM Cable,840,880,1720,2,1,3,1,4,7,1,Gd,Attached,DryWall,2,440,3,Paved,100,0,0,0,No Fence,5,2007,Down payment assistance,Regular,152311.0,Y,N,2021-11-21,43098415,"Bolanderring 7/9
94991 Güstrow",Siegen,Gibraltar,ortmannhardy@hotmail.de,F,Sachsen,91464,53.0,2021-05-30,4.0,2021-05-30,4.0
170,VacHomeClass-1,VacHomeZone-1,,16669,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 24,Proximity to School,Apartment,Contemporary,8,6,1986,1988,Sawtooth,Asphalt Shingles,Brick,Natural Stone,653.0,4,3,Combined footing,4.0,No Sunlight,Dry Wall,1686,Furnace,3,Yes,NM Cable,1707,0,1707,2,1,2,1,3,6,1,TA,Attached,Wood Sheathing,2,511,3,Paved,574,0,0,0,No Fence,1,2006,Down payment assistance,Regular,189246.0,Y,Y,2021-10-12,47242401,"Häringring 019
16535 Viersen",Kelheim,Indonesien,zschaaf@schmidt.net,F,Bremen,14544,2.0,2021-03-05,2.3,2021-03-05,2.3
171,VacHomeClass-5,VacHomeZone-2,,12358,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 18,Proximity to Hospital,Apartment,Craftsman,5,6,1945,1955,Gable,Rolled Roofing,Log Wood,Manmade Stone,0.0,3,3,Combined footing,3.0,No Sunlight,Foamax,720,Furnace,3,Yes,NM Cable,854,0,1382,1,1,2,1,3,7,0,,Detached,Metal Panels,2,660,3,Paved,237,0,0,0,No Fence,5,2007,Down payment assistance,Regular,106661.0,N,Y,2021-05-21,82763541,"Schwitalgasse 2
33511 Neustadtner Waldnaab",Hansestadttralsund,Suriname,fheydrich@scheibe.org,F,Sachsen-Anhalt,98211,35.0,2021-04-22,3.0,2021-04-22,3.0
172,VacHomeClass-1,VacHomeZone-1,141.0,31770,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,NAmes,Proximity to School,Apartment,Contemporary,6,5,1963,1964,Sawtooth,Rolled Roofing,Vertical Wood,Manmade Panels,112.0,3,3,Combined footing,3.0,French Doors,CleanSpace Wall System,1080,Furnace,2,Yes,NM Cable,1656,0,1656,1,0,3,1,3,7,2,Gd,Attached,DryWall,2,528,3,Partially Gravel,210,0,0,0,No Fence,5,2010,Down payment assistance,Regular,178456.0,Y,N,2021-03-09,20771676,"Klaus-D.-Ziegert-Straße 5/7
18327 Rosenheim",Wolmirstedt,Anguilla,hans-joerg09@gmx.de,M,Niedersachsen,5749,99.0,2021-01-14,4.6,2021-01-14,4.6
173,VacHomeClass-13,VacHomeZone-1,44.0,5306,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 23,Proximity to School,SingleFamilyHome,Bungalow,7,7,1990,1992,Gable,Rolled Roofing,Horizontal Wood,Manmade Stone,0.0,4,4,Individual footing,4.0,No Sunlight,ZenWall Panels,1064,Furnace,4,Yes,NM Cable,1064,703,1767,2,0,2,1,4,5,1,TA,Attached,Wood Sheathing,2,504,4,Paved,441,0,0,0,No Fence,6,2006,Down payment assistance,Regular,198376.0,Y,N,2021-01-14,68525231,"Karl-August-Eckbauer-Weg 7/1
68477 Heinsberg",Borken,Bolivien,ringhans-josef@gmail.com,F,Brandenburg,36719,62.0,2021-02-24,4.9,2021-02-24,4.9
174,VacHomeClass-1,VacHomeZone-1,80.0,10197,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,NAmes,Proximity to School,Apartment,Contemporary,6,5,1964,1968,Gable,Rolled Roofing,Vinyl,Concrete Panels,491.0,3,3,Combined footing,3.0,No Sunlight,BrightWall Paneling,1362,Furnace,3,Yes,NM Cable,1362,0,1362,1,1,3,1,3,6,1,TA,Attached,Metal Panels,2,504,3,Paved,0,0,0,0,No Fence,6,2008,Reverse Mortgage,Regular,135296.0,N,Y,2021-03-07,34703014,"Ulrich-Dietz-Allee 50
44429 Kötzting",Vohenstrauß,Grönland,klemens17@web.de,F,Baden-Württemberg,91458,3.0,2021-10-06,1.2,2021-10-06,1.2
175,VacHomeClass-1,VacHomeZone-1,47.0,12416,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 24,Proximity to School,Apartment,Contemporary,6,5,1990,1990,Gable,Rolled Roofing,Board Batten,Manmade Panels,132.0,3,3,Combined footing,4.0,No Sunlight,BrightWall Paneling,1606,Furnace,3,Yes,NM Cable,1651,0,1651,2,0,3,1,3,7,1,TA,Attached,DryWall,2,616,3,Paved,192,0,0,0,No Fence,11,2008,Down payment assistance,Regular,152726.0,N,Y,2021-06-14,3195802,"Eduard-Dippel-Ring 4/2
45466 Rockenhausen",Marienberg,Schweiz,jan-peterziegert@hofmann.com,Unknown,Mecklenburg-Vorpommern,74219,35.0,2021-11-11,3.6,2021-11-11,3.6
176,VacHomeClass-1,VacHomeZone-1,84.0,12615,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 8,Proximity to School,Apartment,Contemporary,6,7,1953,2008,Gable,Rolled Roofing,Vinyl,Manmade Stone,0.0,3,3,Combined footing,3.0,Large Windows,BrightWall Paneling,1202,Furnace,3,Yes,NM Cable,2158,0,2158,2,0,4,1,4,7,1,Gd,Attached,Metal Panels,2,576,3,Paved,0,0,0,0,Vinyl Fences,6,2007,Down payment assistance,Regular,201696.0,N,N,2021-06-16,97269885,"Strohweg 39
20003 Weißwasser",Niesky,Honduras,mkrause@reichmann.de,M,Berlin,85623,88.0,2021-01-14,4.6,2021-01-14,4.6
177,VacHomeClass-6,VacHomeZone-1,97.0,10029,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 5,Proximity to School,Apartment,Bungalow,6,5,1991,1993,Gable,Rolled Roofing,Brick,Natural Stone,268.0,4,3,Individual footing,4.0,No Sunlight,ZenWall Panels,1151,Furnace,3,Yes,NM Cable,1164,896,2060,2,1,4,1,3,8,1,TA,Attached,Metal Panels,2,521,3,Paved,0,0,0,0,No Fence,9,2007,Down payment assistance,Regular,175136.0,N,Y,2021-03-08,1424317,"Elfi-Lehmann-Ring 6/4
66968 Weißenfels",Borna,Sambia,klaudia98@aol.de,Unknown,Baden-Württemberg,80555,13.0,2021-06-28,1.1,2021-06-28,1.1
178,VacHomeClass-5,VacHomeZone-1,,13650,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 20,Proximity to School,Apartment,Craftsman,5,5,1960,1963,Gable,Rolled Roofing,Log Wood,Manmade Stone,0.0,4,4,Combined footing,3.0,No Sunlight,BrightWall Paneling,1052,Furnace,5,Yes,NM Cable,1252,668,1920,2,0,4,1,4,8,1,Gd,Attached,Metal Panels,2,451,3,Paved,0,0,0,0,No Fence,7,2006,Down payment assistance,Regular,143181.0,Y,N,2021-01-14,78063679,"Casparstr. 023
62995 Forchheim",Nabburg,Tuvalu,fredodowerg@gmx.de,Unknown,Berlin,87279,76.0,2021-07-02,2.0,2021-07-02,2.0
179,VacHomeClass-1,VacHomeZone-1,63.0,17423,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Cul-de-sac,No Slope,RNH 23,Proximity to School,Apartment,Contemporary,9,5,2013,2016,Sawtooth,Rolled Roofing,Board Batten,Manmade Panels,748.0,5,3,Individual footing,5.0,No Sunlight,ZenWall Panels,2216,Furnace,5,Yes,NM Cable,2234,0,2234,2,0,1,1,5,9,1,Gd,Attached,DryWall,3,1166,3,Paved,0,0,0,0,No Fence,7,2009,Government-backed programs,Distress Sale,416530.71,N,N,2021-11-01,65333624,"Almuth-Hentschel-Weg 0
18132 Kemnath",Bernburg,Zentralafrikanische Republik,gilbert44@web.de,Unknown,Sachsen-Anhalt,23796,52.0,2021-01-13,2.5,2021-01-13,2.5
180,VacHomeClass-2,VacHomeZone-2,60.0,8520,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 18,Proximity to School,Apartment,Contemporary,5,6,1926,2011,Gable,Rolled Roofing,Wood Shingle,Manmade Stone,0.0,4,3,Combined footing,3.0,No Sunlight,Dry Wall,968,Furnace,3,Yes,NM Cable,968,0,968,1,0,2,1,3,5,0,,Detached,Metal Panels,2,480,2,Only Gravel,0,0,0,0,No Fence,7,2007,Down payment assistance,Regular,83006.0,Y,N,2021-10-19,37068813,"Marc-Stahr-Ring 437
02835 Lüdinghausen",Passau,St. Barthélemy,deigenwillig@stiffel.de,M,Bremen,78920,34.0,2021-02-10,3.3,2021-02-10,3.3
181,VacHomeClass-13,VacHomeZone-5,,2117,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 22,Proximity to School,MultiFamilyHome,Bungalow,6,5,2005,2002,Gable,Rolled Roofing,Log Wood,Natural Stone,456.0,4,3,Individual footing,4.0,No Sunlight,ZenWall Panels,756,Furnace,5,Yes,NM Cable,769,756,1525,2,1,3,1,4,5,1,TA,Detached,Metal Panels,2,440,3,Paved,0,0,0,0,No Fence,6,2007,Down payment assistance,Regular,146916.0,Y,N,2021-01-20,3349823,"Zdravko-Etzler-Allee 95
50139 Borken",Gräfenhainichen,Botsuana,remoboucsein@neuschaefer.net,M,Hessen,35786,12.0,2021-05-29,4.1,2021-05-29,4.1
182,VacHomeClass-7,VacHomeZone-1,54.0,7588,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 7,Proximity to School,Apartment,Bungalow,7,6,1921,1955,Gable,Rolled Roofing,Fiber cement,Manmade Stone,0.0,3,3,Strip foundation,2.0,No Sunlight,Basement to Beautiful Panels,793,Furnace,4,Yes,NM Cable,901,901,1802,1,1,4,1,3,9,1,Gd,Detached,Metal Panels,1,216,2,Paved,0,0,0,0,No Fence,7,2006,Down payment assistance,Regular,166089.0,Y,Y,2021-10-21,23289925,"Andy-Bolander-Gasse 791
36540 Parchim",Sondershausen,Republik Korea,adolf79@gmx.de,F,Brandenburg,40400,36.0,2021-12-09,1.9,2021-12-09,1.9
183,VacHomeClass-1,VacHomeZone-1,60.0,9060,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 8,Proximity to Gym,Apartment,Contemporary,5,6,1961,2016,Sawtooth,Rolled Roofing,Wood Shingle,Natural Stone,98.0,3,3,Individual footing,,,,0,Furnace,5,Yes,NM Cable,1340,0,1340,1,0,3,1,3,7,1,Gd,Attached,Wood Sheathing,1,252,3,Paved,116,180,0,0,Vinyl Fences,6,2007,Down payment assistance,Regular,99606.0,Y,N,2021-11-19,38473005,"Jurij-Gotthard-Allee 321
77502 Iserlohn",Bad Liebenwerda,Gibraltar,uhiller@karge.de,M,Baden-Württemberg,90745,36.0,2021-09-30,4.9,2021-09-30,4.9
184,VacHomeClass-5,VacHomeZone-2,63.0,11426,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 18,Proximity to School,Apartment,Craftsman,7,5,2007,2011,Gable,Rolled Roofing,Board Batten,Manmade Stone,0.0,3,3,Individual footing,4.0,No Sunlight,Dry Wall,1362,Furnace,5,Yes,NM Cable,1362,720,2082,2,1,3,1,4,6,0,,Detached,Metal Panels,2,484,3,Only Gravel,280,0,0,0,No Fence,6,2008,Down payment assistance,Regular,166006.0,N,Y,2021-12-06,94536584,"Krauseplatz 284
64940 Bützow",Sömmerda,Tadschikistan,magnustrueb@weitzel.net,M,Rheinland-Pfalz,93834,49.0,2021-09-03,3.1,2021-09-03,3.1
185,VacHomeClass-5,VacHomeZone-1,92.0,7438,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 4,Proximity to Restaurants,Apartment,Craftsman,5,8,1909,1998,Gable,Rolled Roofing,Concrete,Manmade Stone,0.0,3,3,Individual footing,2.0,No Sunlight,Dry Wall,504,Furnace,4,Yes,NM Cable,936,316,1252,1,0,3,1,3,5,0,,Attached,Metal Panels,2,576,3,Paved,104,0,0,0,Vinyl Fences,6,2006,Down payment assistance,Regular,105416.0,Y,N,2021-05-09,34009581,"Heintzeweg 415
28781 Freital",Cloppenburg,Irland,schinkeingmar@googlemail.com,Unknown,Niedersachsen,58025,73.0,2021-09-23,3.2,2021-09-23,3.2
186,VacHomeClass-8,VacHomeZone-2,90.0,22950,Cobblestone,Gravel,Rectangular,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 18,Proximity to Gym,Apartment,Ranch,10,9,1897,2000,Gable,Built-Up Roofing,Wood Shingle,Manmade Stone,0.0,4,4,Strip foundation,3.0,Small Windows,Dry Wall,1107,Furnace,5,Yes,NM Cable,1518,1518,3608,2,1,4,1,5,12,2,TA,Detached,Metal Panels,3,840,5,Paved,0,0,0,0,Composite Fences,6,2006,Down payment assistance,Regular,394256.0,Y,Y,2021-12-03,83438349,"Ute-Sager-Straße 77
26033 Worbis",Bremervörde,Bahrain,lieselgroettner@renner.com,F,Nordrhein-Westfalen,26113,11.0,2021-12-21,4.4,2021-12-21,4.4
187,VacHomeClass-9,VacHomeZone-1,,9947,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Cul-de-sac,No Slope,RNH 12,Proximity to School,Apartment,Spanish,7,5,1992,1999,Gable,Rolled Roofing,Horizontal Wood,Manmade Stone,0.0,3,3,Individual footing,4.0,Large Windows,ZenWall Panels,1188,Furnace,5,Yes,NM Cable,1217,0,1217,2,0,3,1,4,6,0,,Attached,Metal Panels,2,497,3,Paved,168,0,0,0,Composite Fences,6,2009,Down payment assistance,Regular,143596.0,N,N,2021-12-17,42074014,"Daniela-Kensy-Gasse 2
08798 Schmölln",Lippstadt,Norwegen,eklotz@schenk.de,Unknown,Bremen,88271,77.0,2021-12-23,1.8,2021-12-23,1.8
188,VacHomeClass-5,VacHomeZone-1,60.0,10410,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 18,Proximity to School,Apartment,Craftsman,5,7,1920,1993,Gable,Rolled Roofing,Horizontal Wood,Manmade Stone,0.0,3,3,Combined footing,2.0,No Sunlight,Dry Wall,660,Furnace,5,Yes,NM Cable,808,704,1656,2,1,3,1,3,8,0,,Detached,Metal Panels,1,180,2,Only Gravel,0,140,0,0,Vinyl Fences,8,2009,Down payment assistance,Regular,112056.0,N,N,2021-11-05,44529017,"Ruppersbergerweg 1/3
56458 Dieburg",Dresden,Simbabwe,melaniekrein@hotmail.de,M,Brandenburg,14561,25.0,2021-12-01,2.0,2021-12-01,2.0
189,VacHomeClass-11,VacHomeZone-1,64.0,7018,Cobblestone,Gravel,Pie,Slope,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 21,Proximity to Hospital,Townhome,Georgian,5,5,1981,1984,Gable,Rolled Roofing,Brick,Manmade Panels,275.0,3,3,Combined footing,4.0,Large Windows,ZenWall Panels,1086,Furnace,3,Yes,NM Cable,1224,0,1224,0,2,2,2,3,6,2,TA,Detached,Metal Panels,2,528,3,Paved,120,0,0,0,No Fence,6,2009,Down payment assistance,Foreclosure,127275.71,Y,Y,2021-02-05,22429278,"Zobelstraße 63
27277 Sömmerda",Freising,Australien,scheelsylvia@gmx.de,M,Hamburg,67698,13.0,2021-10-31,4.7,2021-10-31,4.7
190,VacHomeClass-12,VacHomeZone-1,41.0,4923,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 23,Proximity to School,SingleFamilyHome,Contemporary,8,5,2003,2008,Gable,Rolled Roofing,Metal,Manmade Stone,0.0,4,3,Individual footing,5.0,Large Windows,ZenWall Panels,1593,Furnace,5,Yes,NM Cable,1593,0,1593,1,1,0,1,5,5,1,Gd,Attached,DryWall,2,682,3,Paved,0,0,0,0,No Fence,8,2008,Down payment assistance,Regular,237386.0,Y,Y,2021-11-16,29873388,"Etzlerstr. 8/1
64579 Kulmbach",Büsingen am Hochrhein,Martinique,lilianarust@hotmail.de,F,Bremen,72321,53.0,2021-05-25,2.7,2021-05-25,2.7
191,VacHomeClass-7,VacHomeZone-1,70.0,10570,Cobblestone,Gravel,Pie,Slope,Trash|Gas|Water|Electricity,Interior lot,Little Slope,RNH 7,Proximity to School,Apartment,Bungalow,8,8,1935,2000,Sawtooth,Rolled Roofing,Vertical Wood,Manmade Stone,0.0,4,3,Combined footing,4.0,No Sunlight,Foamax,853,Furnace,3,Yes,NM Cable,1549,1178,2727,2,1,3,1,4,10,2,TA,Detached,Metal Panels,2,440,3,Paved,0,0,0,0,No Fence,12,2007,Down payment assistance,Regular,261456.0,Y,N,2021-09-04,82863388,"Hornichstr. 074
04708 Wolgast",Roding,Puerto Rico,heidrichhans-heinrich@hoefig.de,F,Rheinland-Pfalz,68490,12.0,2021-05-19,1.0,2021-05-19,1.0
192,VacHomeClass-6,VacHomeZone-1,,7472,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Cul-de-sac,No Slope,NAmes,Proximity to School,Apartment,Bungalow,7,9,1975,2014,Gable,Rolled Roofing,Horizontal Wood,Natural Stone,138.0,3,3,Combined footing,3.0,No Sunlight,BrightWall Paneling,725,Furnace,4,Yes,NM Cable,725,754,1479,1,1,4,1,4,7,0,,Attached,DryWall,2,484,3,Paved,0,0,0,0,No Fence,6,2007,Down payment assistance,Regular,152726.0,Y,N,2021-10-24,71463087,"Leszek-Kusch-Straße 259
42667 Hettstedt",Gotha,Usbekistan,michelle86@gmail.com,M,Saarland,92966,99.0,2021-12-17,1.7,2021-12-17,1.7
193,VacHomeClass-1,VacHomeZone-1,68.0,9017,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 6,Proximity to School,Apartment,Contemporary,7,5,2004,2004,Gable,Rolled Roofing,Board Batten,Manmade Stone,0.0,4,3,Individual footing,4.0,Large Windows,ZenWall Panels,1431,Furnace,5,Yes,NM Cable,1431,0,1431,2,0,3,1,4,6,0,,Attached,DryWall,2,666,3,Paved,0,0,0,0,No Fence,9,2009,Down payment assistance,Regular,159366.0,N,N,2021-03-27,71807416,"Mareen-Hornich-Weg 093
55189 Aschaffenburg",Beeskow,Äthiopien,mangoldbelinda@losekann.de,M,Berlin,19425,46.0,2021-04-10,1.8,2021-04-10,1.8
194,VacHomeClass-13,VacHomeZone-2,24.0,2522,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 8,Proximity to School,MultiFamilyHome,Bungalow,7,5,2009,2008,Gable,Rolled Roofing,Board Batten,Manmade Panels,50.0,4,3,Individual footing,4.0,No Sunlight,Dry Wall,970,Furnace,5,Yes,NM Cable,970,739,1709,2,0,3,1,4,7,0,,Detached,Metal Panels,2,380,3,Paved,0,0,0,0,No Fence,5,2006,Down payment assistance,Regular,107906.0,N,Y,2021-07-10,39813640,"Ditschlerinstr. 266
00925 Miesbach",Schwabmünchen,Puerto Rico,bzobel@koch.de,M,Thüringen,41527,22.0,2021-09-16,2.3,2021-09-16,2.3
195,VacHomeClass-1,VacHomeZone-1,60.0,7180,Cobblestone,Gravel,Reverse Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 6,Proximity to School,Apartment,Contemporary,5,7,1973,1976,Sawtooth,Rolled Roofing,Horizontal Wood,Manmade Stone,0.0,3,3,Combined footing,3.0,Large Windows,BrightWall Paneling,864,Furnace,3,Yes,NM Cable,864,0,864,1,0,3,1,3,5,0,,Detached,Metal Panels,1,352,3,Paved,0,0,0,0,No Fence,5,2008,Down payment assistance,Regular,105416.0,Y,N,2021-06-12,12245208,"Clara-Lange-Ring 84
95699 Warendorf",Klötze,Anguilla,twernecke@naser.net,M,Hessen,75838,73.0,2021-02-06,4.8,2021-02-06,4.8
196,VacHomeClass-13,VacHomeZone-1,24.0,2280,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,T-intersection,No Slope,RNH 15,Proximity to School,MultiFamilyHome,Bungalow,6,6,1977,1986,Gable,Rolled Roofing,Brick,Manmade Stone,0.0,3,3,Combined footing,4.0,No Sunlight,BrightWall Paneling,855,Furnace,3,Yes,NM Cable,855,601,1456,2,1,3,1,3,7,1,TA,Attached,Metal Panels,2,440,3,Paved,87,0,0,0,No Fence,7,2009,Down payment assistance,Regular,123261.0,N,N,2021-03-06,34172414,"Jiri-Möchlichen-Ring 6
81674 Arnstadt",Halberstadt,Venezuela,christl72@hotmail.de,M,Schleswig-Holstein,65592,22.0,2021-04-29,1.2,2021-04-29,1.2
197,VacHomeClass-1,VacHomeZone-1,79.0,9416,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Interior lot,No Slope,RNH 22,Proximity to School,Apartment,Contemporary,7,5,2010,2010,Sawtooth,Rolled Roofing,Metal,Manmade Panels,205.0,5,3,Individual footing,5.0,No Sunlight,ZenWall Panels,1726,Furnace,5,Yes,NM Cable,1726,0,1726,2,0,3,1,5,8,1,Gd,Attached,DryWall,3,786,3,Paved,171,0,0,0,No Fence,9,2007,Government-backed programs,Distress Sale,258859.76,N,N,2021-07-19,26044101,"Waldtraut-Stiffel-Allee 3/4
95055 Soltau",Bremen,Antarktis,luzie83@graf.de,F,Sachsen,94328,58.0,2021-06-15,4.1,2021-06-15,4.1
198,VacHomeClass-8,VacHomeZone-1,174.0,25419,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,NAmes,Proximity to Gym,Apartment,Bungalow,8,4,1923,2000,Gable,Rolled Roofing,Fiber cement,Manmade Stone,0.0,4,4,Individual footing,3.0,No Sunlight,ZenWall Panels,1360,Furnace,4,Yes,NM Cable,1360,1360,3112,2,0,4,1,4,8,1,Ex,Detached,Metal Panels,2,795,3,Paved,0,0,512,5,Composite Fences,3,2006,Down payment assistance,Shortsale,195056.0,Y,Y,2021-04-18,48671903,"Wilmsgasse 390
13866 Bützow",Soltau,Indonesien,grosenow@pergande.de,M,Mecklenburg-Vorpommern,22837,84.0,2021-12-30,1.6,2021-12-30,1.6
199,VacHomeClass-8,VacHomeZone-2,92.0,5520,Cobblestone,Gravel,Pie,Flat,Trash|Gas|Water|Electricity,Corner lot,No Slope,RNH 18,Proximity to School,Apartment,Ranch,6,6,1915,1954,Gable,Rolled Roofing,Wood Shingle,Manmade Stone,0.0,3,3,Combined footing,3.0,No Sunlight,Dry Wall,755,Furnace,5,Yes,NM Cable,929,929,2229,1,0,5,1,3,8,0,,No Garage,Unfinished,0,0,0,Paved,0,0,0,0,Vinyl Fences,7,2009,Down payment assistance,Shortsale,86326.0,N,Y,2021-12-06,2718521,"Roggeweg 052
35805 Riesa",Herford,Turks- und Caicosinseln,wkarz@web.de,Unknown,Berlin,1576,53.0,2021-01-25,1.6,2021-01-25,1.6
